"Genus"	"Subgenus"	"Section"	"Series"	"Subseries"	"Species"	"Subspecies"	"NativeRange"	"DN_Observed"	"DN_Collected"	"CCA_Status"	"Synonyms"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia deserticola (dainty bloodwood)"	"subsp. deserticola"	"WA"	"O"	"C"	"G(3)"	"E. desertorum D.J.Carr & S.G.S.Carr"
"Corymbia"	"Corymbia"	"Corymbia"	"‘Terminalipterae’ ms (juvenile-leaved red bloodwoods)"	""	"Corymbia deserticola (dainty bloodwood)"	"subsp. mesogeotica"	"NT,WA"	"O"	"C"	"– (1)"	
"Corymbia"	"Blakella"	"Naviculares (yellow bloodwoods)"	""	""	"Corymbia eximia (yellow bloodwood)"	""	"NSW"	"O"	"C"	"G(1)m"	"E. eximia"
"Corymbia"	"Blakella"	"Naviculares (yellow bloodwoods)"	""	""	"Corymbia petalophylla"	""	"Qld"	"O"	"C"	"G(1)m"	"E. petalophylla"
"Corymbia"	"Blakella"	"Naviculares (yellow bloodwoods)"	""	""	"Corymbia watsoniana (large-fruited yellowjacket)"	""	""	""	""	""	"E. watsoniana"
"Corymbia"	"Blakella"	"Naviculares (yellow bloodwoods)"	""	""	"Corymbia watsoniana (large-fruited yellowjacket)"	"subsp. capillata"	"Qld"	"O"	"C"	"G(2)"	"C. catenaria, E. watsoniana subsp. capillata"
"Corymbia"	"Blakella"	"Naviculares (yellow bloodwoods)"	""	""	"Corymbia watsoniana (large-fruited yellowjacket)"	"subsp. watsoniana"	"Qld"	"O"	"C"	"G(1)m"	
"Corymbia"	"Blakella"	"Naviculares (yellow bloodwoods)"	""	""	"Corymbia scabrida (rough-leaved yellowjacket)"	""	"Qld"	"O"	"C"	"G(1)m"	"E. scabrida"
"Corymbia"	"Blakella"	"Naviculares (yellow bloodwoods)"	""	""	"Corymbia peltata (yellowjacket)"	""	"Qld"	"O"	"C"	"G(1)m"	"E. peltata"
"Corymbia"	"Blakella"	"Naviculares (yellow bloodwoods)"	""	""	"Corymbia dimorpha (variable-leaved yellowjacket)"	""	"Qld"	"O"	"C"	"G(1)m"	"E. peltata subsp. dimorpha"
"Corymbia"	"Blakella"	"Naviculares (yellow bloodwoods)"	""	""	"Corymbia leichhardtii (yellowjacket)"	""	"Qld"	"O"	"C"	"G(1)m"	"E. leichhardtii"
"Corymbia"	"Blakella"	"Naviculares (yellow bloodwoods)"	""	""	"Corymbia bunites (Blackdown yellowjacket)"	""	"Qld"	"O"	"C"	"G(1)m"	"E. bunites"
"Corymbia"	"Blakella"	"Naviculares (yellow bloodwoods)"	""	""	"Corymbia aureola (coalfields yellowjacket)"	""	"Qld"	"O"	"C"	"G(1)m"	"E. aureola"
"Corymbia"	"Blakella"	"Naviculares (yellow bloodwoods)"	""	""	"Corymbia bloxsomei (Barakula yellowjacket)"	""	"Qld"	"O"	"C"	"G(1)m"	"E. bloxsomei"
"Corymbia"	"Blakella"	"Naviculares (yellow bloodwoods)"	""	""	"Corymbia leptoloma (Paluma yellowjacket)"	""	"Qld"	"O"	"C"	"G(1)m"	"E. leptoloma"
"Corymbia"	"Blakella"	"Torellianae"	""	""	"Corymbia torelliana (cadagi, cadaghi)"	""	"Qld"	"O"	"C"	"G(1)"	"E. torelliana"
"Corymbia"	"Blakella"	"Maculatae (spotted gums)"	""	""	"Corymbia citriodora (lemon-scented gum)"	""	"Qld"	"O"	"C"	"G(1)m"	"E. citriodora"
"Corymbia"	"Blakella"	"Maculatae (spotted gums)"	""	""	"Corymbia variegata (northern spotted gum)"	""	"Qld,NSW"	"O"	"C"	"G(2)m"	"C. citriodora subsp. variegata, E. variegata"
"Corymbia"	"Blakella"	"Maculatae (spotted gums)"	""	""	"Corymbia maculata (spotted gum)"	""	"NSW,Qld,Vic"	"O"	"C"	"G(3)m"	"C. henryi, E. maculata"
"Corymbia"	"Blakella"	"Abbreviatae (paper-fruited bloodwoods, ghost gums)"	"‘Tessellatae’ ms"	""	"Corymbia tessellaris (carbeen, Moreton Bay ash)"	""	"Qld,NSW,PNG"	"O"	"C"	"G(1)"	"E. tessellaris"
"Corymbia"	"Blakella"	"Abbreviatae (paper-fruited bloodwoods, ghost gums)"	"‘Tessellatae’ ms"	""	"Corymbia papuana (ghost gum)"	""	"PNG,Qld,Indo"	"O"	"C"	"–"	"C. paracolpica, E. papuana"
"Corymbia"	"Blakella"	"Abbreviatae (paper-fruited bloodwoods, ghost gums)"	"‘Tessellatae’ ms"	""	"?Corymbia arafurica (Darwin ghost gum)"	""	"NT"	"O"	"C"	"–"	"Dubious species (possibly = C. papuana)"
"Corymbia"	"Blakella"	"Abbreviatae (paper-fruited bloodwoods, ghost gums)"	"‘Tessellatae’ ms"	""	"Corymbia bella (weeping ghost gum)"	""	"NT,WA,Qld"	"O"	"C"	"G(1)"	"E. bella, E. sp. AA in Brooker & Kleinig 1994"
"Corymbia"	"Blakella"	"Abbreviatae (paper-fruited bloodwoods, ghost gums)"	"‘Scutiformes’ ms"	""	"Corymbia torta (Kimberley ghost gum)"	""	"WA"	"O"	"C"	"–"	"C. torta subsp. allanii, C. torta subsp. mixtifolia"
